Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Cervidae,Alces,Alces alces,1,0.02981822,0.44961616,356998,H,-0.636198956,0.842916907
Artiodactyla,Cervidae,Alces,Alces alces,2,0.035862805,0.495297979,356998,H,-0.758874016,2.866866724
Artiodactyla,Cervidae,Alces,Alces alces,2,0.042472168,0.520795571,356998,H,-0.743222447,1.273688275
Artiodactyla,Cervidae,Alces,Alces alces,2,0.034339882,0.364940872,356998,H,-0.993169327,4.960302007
Artiodactyla,Cervidae,Alces,Alces alces,2,0.078758022,0.744380927,356998,H,0.420706688,0.15413093
Artiodactyla,Cervidae,Alces,Alces alces,2,0.043126338,0.477304856,356998,H,-0.757015419,2.454200442
Artiodactyla,Cervidae,Alces,Alces alces,2,0.054338911,0.525067702,356998,H,-0.839543234,1.394802202
Artiodactyla,Cervidae,Alces,Alces alces,2,0.069219096,0.577965389,356998,H,-1.312268783,0.324521358
Artiodactyla,Cervidae,Alces,Alces alces,2,0.059911394,0.75314198,356998,H,-0.998298313,0.000608229
Artiodactyla,Cervidae,Alces,Alces alces,2,0.08424918,0.884347902,356998,H,-0.564969039,3.40498763
Artiodactyla,Cervidae,Alces,Alces alces,2,0.062529075,0.768988367,356998,H,-0.276286753,0.217980541
Artiodactyla,Cervidae,Alces,Alces alces,2,0.041195247,0.687061727,356998,H,-0.594983487,4.054453995
Artiodactyla,Cervidae,Alces,Alces alces,2,0.034015464,0.60827374,356998,H,-0.653920054,1.294248295
Artiodactyla,Cervidae,Alces,Alces alces,2,0.044172413,0.6181102,356998,H,-0.673373204,0.824374219
Artiodactyla,Cervidae,Alces,Alces alces,2,0.045046263,0.791668814,356998,H,-0.618386909,1.156374885
Artiodactyla,Cervidae,Alces,Alces alces,2,0.054498019,0.66054306,356998,H,-0.620808721,0.845942586
Artiodactyla,Cervidae,Alces,Alces alces,4,0.07186953,0.881999145,356998,H,-0.7966194,2.851546902
Artiodactyla,Cervidae,Alces,Alces alces,4,0.087170989,0.921273237,356998,H,-0.782724391,1.274995363
Artiodactyla,Cervidae,Alces,Alces alces,4,0.070543634,0.633695873,356998,H,-1.033338045,4.951775886
Artiodactyla,Cervidae,Alces,Alces alces,4,0.149528489,1.159181411,356998,H,0.381053816,0.155873033
Artiodactyla,Cervidae,Alces,Alces alces,4,0.097235437,0.724312913,356998,H,-0.796058383,2.441884298
Artiodactyla,Cervidae,Alces,Alces alces,4,0.103376398,0.851903079,356998,H,-0.885435158,1.389897543
Artiodactyla,Cervidae,Alces,Alces alces,4,0.127024696,0.834452715,356998,H,-1.360190399,0.324352496
Artiodactyla,Cervidae,Alces,Alces alces,4,0.115798259,1.229157349,356998,H,-1.041518395,0.000872846
Artiodactyla,Cervidae,Alces,Alces alces,4,0.159874565,1.317268926,356998,H,-0.595404665,3.384194673
Artiodactyla,Cervidae,Alces,Alces alces,4,0.108946599,1.306750461,356998,H,-0.316488366,0.214487083
Artiodactyla,Cervidae,Alces,Alces alces,4,0.091804238,1.058072749,356998,H,-0.632180212,4.043897843
Artiodactyla,Cervidae,Alces,Alces alces,4,0.071473986,0.903456022,356998,H,-0.697103606,1.293770165
Artiodactyla,Cervidae,Alces,Alces alces,4,0.081318109,0.785975184,356998,H,-0.713845893,0.820291656
Artiodactyla,Cervidae,Alces,Alces alces,4,0.0964779,1.211294064,356998,H,-0.658867777,1.154538907
Artiodactyla,Cervidae,Alces,Alces alces,4,0.113855263,0.817105818,356998,H,-0.659877571,0.847767822
Artiodactyla,Cervidae,Alces,Alces alces,8,0.150398427,1.274553201,356998,H,-0.798975579,2.872994592
Artiodactyla,Cervidae,Alces,Alces alces,8,0.175863046,1.660920353,356998,H,-0.788601973,1.27360377
Artiodactyla,Cervidae,Alces,Alces alces,8,0.132750193,1.200137052,356998,H,-1.044827837,4.913667937
Artiodactyla,Cervidae,Alces,Alces alces,8,0.368756954,2.092519496,356998,H,0.385346733,0.150609073
Artiodactyla,Cervidae,Alces,Alces alces,8,0.193388779,1.165778007,356998,H,-0.806223207,2.436695659
Artiodactyla,Cervidae,Alces,Alces alces,8,0.199565875,1.458084922,356998,H,-0.9059967,1.428904353
Artiodactyla,Cervidae,Alces,Alces alces,8,0.264812174,1.215646671,356998,H,-1.370277805,0.324337147
Artiodactyla,Cervidae,Alces,Alces alces,8,0.254179049,2.02473243,356998,H,-1.043545981,0.001245123
